plate,state,license_type,summons_number,issue_date,violation_time,violation,fine_amount,penalty_amount,interest_amount,reduction_amount,payment_amount,amount_due,precinct,county,issuing_agency,summons_image,judgment_entry_date,violation_status
FJY3416,NY,PAS,7461985103,01/03/2017,08:25A,OBSTRUCTING TRAFFIC/INTERSECT,115.0,0.0,0.0,0.0,115.0,0.0,107.0,Q,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VG5wUk1rMVVhelJPVkVWM1RYYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",,
HFY2688,NY,PAS,7461985061,12/31/2016,09:48A,FAIL TO DSPLY MUNI METER RECPT,35.0,0.0,0.0,0.0,35.0,0.0,112.0,Q,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VG5wUk1rMVVhelJPVkVFeVRWRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,
GBE2492,NY,PAS,7694265292,03/05/2013,08:13A,NO PARKING-STREET CLEANING,45.0,60.0,34.74,0.13,139.61,0.0,67.0,K,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VG5wWk5VNUVTVEpPVkVrMVRXYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",06/20/2013,
HKV3074,NY,PAS,8484297767,12/28/2017,01:35P,EXPIRED MUNI METER,65.0,30.0,0.0,20.0,75.0,0.0,13.0,NY,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSUk5FNUVTVFZPZW1NeVRuYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",,
GXZ9862,NY,PAS,4646073535,05/25/2018,01:45P,PHTO SCHOOL ZN SPEED VIOLATION,50.0,0.0,0.0,0.0,50.0,0.0,0.0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSWk1FNXFRVE5OZWxWNlRsRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,
HUW4967,NY,PAS,8578388719,02/13/2018,01:31P,NO STOPPING-DAY/TIME LIMITS,115.0,60.0,17.03,0.13,191.9,0.0,84.0,K,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk0wOUVUVFJQUkdONFQxRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",05/31/2018,
70181MD,NY,COM,8477139076,09/13/2017,11:27A,EXPIRED MUNI MTR-COMM MTR ZN,65.0,0.0,0.0,0.0,65.0,0.0,14.0,NY,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSUk0wNTZSWHBQVkVFelRtYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",,
95139JC,NY,COM,8485817941,06/05/2017,09:04A,FAIL TO DISP. MUNI METER RECPT,65.0,0.0,0.0,37.0,28.0,0.0,18.0,NY,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSUk5FNVVaM2hPZW1zd1RWRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,HEARING HELD-GUILTY REDUCTION
9595529N,NJ,PAS,8497063971,06/06/2017,03:19P,NO STANDING-DAY/TIME LIMITS,115.0,0.0,0.0,0.0,115.0,0.0,14.0,NY,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSUk5VNTZRVEpOZW1zelRWRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,
GZH8349,NY,PAS,8523518253,05/01/2017,08:44A,NO PARKING-STREET CLEANING,45.0,10.0,0.0,10.0,45.0,0.0,46.0,BX,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVmVVMTZWWGhQUkVreFRYYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",,
ZBJ9851,PA,PAS,4645833110,05/17/2018,07:43A,PHTO SCHOOL ZN SPEED VIOLATION,50.0,0.0,0.0,0.0,50.0,0.0,0.0,BX,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSWk1FNVVaM3BOZWtWNFRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,
CLW6121,NY,PAS,7461985073,12/31/2016,11:19A,NO STANDING-DAY/TIME LIMITS,115.0,10.0,0.0,10.0,115.0,0.0,112.0,Q,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VG5wUk1rMVVhelJPVkVFelRYYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",,
1210,NY,VAS,5103517097,09/16/2018,04:18P,FAILURE TO STOP AT RED LIGHT,50.0,0.0,0.0,0.0,50.0,0.0,0.0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGxSRmQwMTZWWGhPZWtFMVRuYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",,
JRT1444,PA,PAS,8511809831,03/27/2017,12:06P,NO PARKING-STREET CLEANING,45.0,0.0,0.0,0.0,45.0,0.0,34.0,NY,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVmVFMVVaM2RQVkdkNlRWRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,
GZR5594,NY,PAS,7461985188,01/03/2017,12:32P,EXPIRED MUNI METER,35.0,0.0,0.0,0.0,35.0,0.0,103.0,Q,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VG5wUk1rMVVhelJPVkVVMFQwRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,
2027882,IN,PAS,8204028982,09/20/2016,12:58P,DOUBLE PARKING,115.0,0.0,0.0,115.0,0.0,0.0,114.0,Q,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSmQwNUVRWGxQUkdzMFRXYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",,HEARING HELD-NOT GUILTY
HMB1981,PA,PAS,8074034392,05/27/2016,06:06P,EXPIRED MUNI METER,35.0,60.0,1.22,0.05,96.17,0.0,28.0,NY,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSQk0wNUVRWHBPUkUwMVRXYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",09/15/2016,
10632JU,NY,COM,8204029275,09/21/2016,11:47A,FAIL TO DSPLY MUNI METER RECPT,35.0,0.0,0.0,0.0,35.0,0.0,110.0,Q,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSmQwNUVRWGxQVkVrelRsRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,HEARING HELD-GUILTY
PAL5201,MN,PAS,8204029020,09/20/2016,03:05P,FAIL TO DSPLY MUNI METER RECPT,35.0,0.0,0.0,15.0,20.0,0.0,114.0,Q,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSmQwNUVRWGxQVkVGNVRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,HEARING HELD-GUILTY REDUCTION
XCGS16,NJ,PAS,8010067593,11/09/2016,02:04P,OBSTRUCTING TRAFFIC/INTERSECT,115.0,0.0,0.0,0.0,115.0,0.0,17.0,NY,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSQmVFMUVRVEpPZWxVMVRYYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",,
T715131C,NY,OMT,8010067751,11/09/2016,05:20P,OBSTRUCTING TRAFFIC/INTERSECT,115.0,0.0,0.0,0.0,115.0,0.0,17.0,NY,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSQmVFMUVRVEpPZW1NeFRWRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,
Y96EXV,NJ,PAS,5096304061,05/05/2017,12:27P,FAILURE TO STOP AT RED LIGHT,50.0,25.0,1.53,0.06,76.47,0.0,0.0,BX,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGxSQk5VNXFUWGRPUkVFeVRWRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",08/03/2017,
5ADNGO,CT,PAS,8010067775,11/09/2016,05:28P,OBSTRUCTING TRAFFIC/INTERSECT,115.0,0.0,0.0,0.0,115.0,0.0,17.0,NY,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSQmVFMUVRVEpPZW1NelRsRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,
HBC1954,TX,PAS,7499593174,07/22/2016,08:24P,NO PARKING-DAY/TIME LIMITS,65.0,60.0,1.03,0.03,126.0,0.0,19.0,NY,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VG5wUk5VOVVWVFZOZWtVelRrRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",11/10/2016,
AKY9303,NY,PAS,4646073572,05/25/2018,01:46P,PHTO SCHOOL ZN SPEED VIOLATION,50.0,0.0,0.0,0.0,50.0,0.0,0.0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSWk1FNXFRVE5OZWxVelRXYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",,
